1800,70784405,481221,669
1801,107290136,720762,976
1802,95731997,593319,843
1803,104173226,703119,941
1804,114051906,773467,1079
1805,115330195,768720,1054
1806,118229517,820253,1139
1807,128904931,843799,1139
1808,129988114,825924,1172
1809,137911980,849578,1188
1810,150961261,942002,1280
1811,177318465,1089707,1425
1812,172538907,966207,1285
1813,144660671,848854,1148
1814,168441689,1005881,1325
1815,156318674,940919,1281
1816,161561836,993399,1375
1817,182422107,1112404,1608
1818,204446854,1249575,1711
1819,174156635,1074883,1603
1820,231277724,1428596,1876
1821,181677006,1090084,1530
1822,271213007,1582135,2049
1823,254327070,1531352,2096
1824,309237910,1818566,2402
1825,318701311,1931153,2571
1826,243758959,1459702,2006
1827,253677933,1540742,2124
1828,273678947,1616864,2320
1829,293815859,1682580,2338
1830,342378710,1893561,2615
1831,313388047,1693686,2458
1832,314184783,1697641,2501
1833,310441320,1768777,2655
1834,301383644,1685631,2585
1835,355491202,2000520,2946
1836,365982104,2016239,2951
1837,337485292,1897476,2642
1838,358600155,1973223,2813
1839,413876708,2268357,3195
1840,423904296,2214894,3196
1841,387286321,2083152,3048
1842,348396317,1825805,2711
1843,404133447,2000337,2899
1844,419311001,2164514,3086
1845,456885448,2327894,3294
1846,459546575,2351443,3305
1847,443868440,2210955,3291
1848,466134080,2417716,3648
1849,472315353,2428935,3539
1850,504143257,2601734,3910
1851,537705793,2787491,4021
1852,558718364,2900999,4461
1853,625159477,3248278,4706
1854,683559348,3445720,4810
1855,605758582,3126226,4404
1856,652385453,3360386,4728
1857,568489706,2971641,4319
1858,541848821,2794762,4108
1859,588343315,3047548,4572
1860,607952196,3291751,4921
1861,463190641,2457516,3664
1862,396839451,2162284,3364
1863,418297294,2280211,3527
1864,493159851,2742669,4089
1865,503022451,2754685,4265
1866,548257863,2970231,4373
1867,518622969,2798144,4168
1868,547590187,3004671,4509
1869,558291347,3052571,4589
1870,548870828,3010658,4588
1871,560339562,3109850,4674
1872,566620105,3133978,4768
1873,583981485,3210707,4799
1874,636667506,3496138,5190
1875,643873731,3513955,5335
1876,676820039,3717671,5691
1877,667722549,3635691,5657
1878,629401874,3475917,5521
1879,654448581,3648960,5912
1880,784223075,4339293,6659
1881,789254798,4377740,6836
1882,828502461,4594461,7295
1883,930196929,5188267,8091
1884,881638914,4821278,7906
1885,857166435,4796652,7804
1886,727723136,3978980,6198
1887,801865869,4578817,7215
